"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 17 17:36:25 CST 2020","Fri Apr 17 17:36:54 CST 2020","28599","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_08_Update_Spark_Name","作业更改名称,验证版本"
"passed","Fri Apr 17 17:32:53 CST 2020","Fri Apr 17 17:33:24 CST 2020","31560","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_03_Distcp_version","创建Distcp 校验版本"
"passed","Fri Apr 17 17:34:59 CST 2020","Fri Apr 17 17:35:49 CST 2020","49915","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_15_Hive_dagNode_rerun","rerun dagNode"
"passed","Fri Apr 17 17:36:52 CST 2020","Fri Apr 17 17:37:37 CST 2020","45654","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_05_Start_And_Stop_Dispatch","验证启用spark调度"
"passed","Fri Apr 17 17:35:44 CST 2020","Fri Apr 17 17:35:48 CST 2020","3869","TestCase.Dispatch","test_dispatch_project","TestProject","","","test_03_Project_Transfer","项目归属转让"
"passed","Fri Apr 17 17:37:01 CST 2020","Fri Apr 17 17:37:53 CST 2020","51844","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_13_spark_dagNode_rerun","rerun dagNode"
"passed","Fri Apr 17 17:32:09 CST 2020","Fri Apr 17 17:32:55 CST 2020","46377","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_05_Start_And_Stop_Dispatch","验证启用spark调度"
"passed","Fri Apr 17 17:33:05 CST 2020","Fri Apr 17 17:33:39 CST 2020","33736","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_10_Distcp_manually_execution","workflow手动执行"
"failed","Fri Apr 17 17:39:09 CST 2020","Fri Apr 17 17:40:40 CST 2020","90649","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_17_Stop_Spark_Dispatchs","批量终止check调度"
"passed","Fri Apr 17 17:36:22 CST 2020","Fri Apr 17 17:36:53 CST 2020","31047","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_06_Update_Workflow_Distcp_DispatchMethond_And_Msg","修改workflow调度方式与通知"
"failed","Fri Apr 17 17:35:09 CST 2020","Fri Apr 17 17:36:35 CST 2020","86405","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_17_Stop_Distcp_Dispatchs","批量终止check调度"
"passed","Fri Apr 17 17:32:19 CST 2020","Fri Apr 17 17:33:01 CST 2020","41445","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_04_Update_Check_Name_and_checkVersion","check,重命名,未生成新版本"
"passed","Fri Apr 17 17:34:30 CST 2020","Fri Apr 17 17:35:05 CST 2020","35037","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_09_Execute_Hive","作业点击执行,校验DAG"
"failed","Fri Apr 17 17:33:29 CST 2020","Fri Apr 17 17:34:00 CST 2020","30504","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_01_CreateCheck","创建check作业,校验信息"
"passed","Fri Apr 17 17:40:59 CST 2020","Fri Apr 17 17:45:05 CST 2020","246042","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_09_Spark_timed_execution","workflow定时执行spark"
"passed","Fri Apr 17 17:34:34 CST 2020","Fri Apr 17 17:35:23 CST 2020","49238","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_08_Create_Hives","一次创建多个hive作业,校验信息"
"passed","Fri Apr 17 17:41:32 CST 2020","Fri Apr 17 17:42:44 CST 2020","72034","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_16_Check_Update_DispatchType","修改调度方式 版本加1"
"passed","Fri Apr 17 17:32:10 CST 2020","Fri Apr 17 17:32:45 CST 2020","35352","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_06_Update_Workflow_DispatchMethond_And_Msg","修改workflow调度方式与通知"
"passed","Fri Apr 17 17:39:36 CST 2020","Fri Apr 17 17:40:00 CST 2020","23460","TestCase.Meta","test_data_struct","TestMetaStruct","","","test_05_CreateStruct","成功建表,验证字段, 参数对应正确"
"passed","Fri Apr 17 17:36:43 CST 2020","Fri Apr 17 17:37:13 CST 2020","29496","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_07_Update_Hive_JobName","作业更改名称,验证版本"
"passed","Fri Apr 17 17:36:25 CST 2020","Fri Apr 17 17:37:01 CST 2020","35487","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_03_spark_version","创建spark,校验版本"
"passed","Fri Apr 17 17:33:53 CST 2020","Fri Apr 17 17:34:41 CST 2020","47435","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_04_Start_And_Stop_Hivedispatch","验证启用调度"
"failed","Fri Apr 17 17:34:32 CST 2020","Fri Apr 17 17:36:02 CST 2020","89963","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_17_Stop_check_Dispatchs","批量终止check调度"
"passed","Fri Apr 17 17:36:34 CST 2020","Fri Apr 17 17:37:15 CST 2020","41278","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_07_Update_Spark_Version","单个作业进行编辑,验证版本"
"passed","Fri Apr 17 17:38:44 CST 2020","Fri Apr 17 17:39:28 CST 2020","44783","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_15_Touch_Recall"," 回溯操作成功，生成正确数量的dag"
"passed","Fri Apr 17 17:38:16 CST 2020","Fri Apr 17 17:38:44 CST 2020","28245","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_08_Update_Touch_Name","作业更改名称,验证版本"
"passed","Fri Apr 17 17:39:46 CST 2020","Fri Apr 17 17:41:40 CST 2020","113308","TestCase.Meta","test_meta_create","TestMapCreate","","","test_03_Update_Hive","删除HIVE 校验"
"passed","Fri Apr 17 17:34:23 CST 2020","Fri Apr 17 17:35:03 CST 2020","39437","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_06_Update_Hive_Version","单个作业进行编辑,验证版本"
"passed","Fri Apr 17 17:40:48 CST 2020","Fri Apr 17 17:44:54 CST 2020","245828","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_09_Touch_timed_execution","workflow定时执行touch"
"passed","Fri Apr 17 17:36:08 CST 2020","Fri Apr 17 17:36:25 CST 2020","16721","TestCase.Dispatch","test_dispatch_project","TestProject","","","test_06_Project_Create","验证 未同步 授权失败"
"passed","Fri Apr 17 17:38:06 CST 2020","Fri Apr 17 17:38:52 CST 2020","45917","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_05_Start_And_Stop_Touch_Dispatch","验证启用touch调度"
"passed","Fri Apr 17 17:38:23 CST 2020","Fri Apr 17 17:39:06 CST 2020","42960","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_11_Touch_result_check","workflow结果校验"
"passed","Fri Apr 17 17:37:48 CST 2020","Fri Apr 17 17:38:29 CST 2020","41185","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_04_Update_Touch_Name_and_checkVersion","check,重命名,未生成新版本"
"passed","Fri Apr 17 17:39:33 CST 2020","Fri Apr 17 17:39:57 CST 2020","23732","TestCase.Meta","test_data_struct","TestMetaStruct","","","test_03_CreateStruct","成功建表,验证字段, 参数对应正确"
"passed","Fri Apr 17 17:40:21 CST 2020","Fri Apr 17 17:41:00 CST 2020","38902","TestCase.Meta","test_meta_create","TestMapCreate","","","test_02_CreateFileStructure","新建数据结构成功"
"passed","Fri Apr 17 17:36:45 CST 2020","Fri Apr 17 17:37:21 CST 2020","35922","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_06_Update_Workflow_DispatchMethond_And_Msg","修改workflow调度方式与通知"
"passed","Fri Apr 17 17:33:49 CST 2020","Fri Apr 17 17:34:56 CST 2020","67628","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_16_Distcp_Update_DispatchType","修改调度方式 版本加1"
"passed","Fri Apr 17 17:35:13 CST 2020","Fri Apr 17 17:35:58 CST 2020","45253","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_17_Hive_Recall"," 回溯操作成功，生成正确数量的dag"
